"Survived","Pclass","Sex","Age","Title","SibSp","Parch","FareFamily","CabinLevel","CabinSide","Embarked","MissingAge"
0,"3","male",22,"Mr",1,0,3.625,"none","none","S",0
1,"1","female",38,"Mrs",1,0,35.64165,"C","starboard","C",0
1,"3","female",26,"Miss",0,0,7.925,"none","none","S",0
1,"1","female",35,"Mrs",1,0,26.55,"C","starboard","S",0
0,"3","male",35,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.4583,"none","none","Q",1
0,"1","male",54,"Mr",0,0,51.8625,"E","port","S",0
0,"3","male",2,"Master",3,1,4.215,"none","none","S",0
1,"3","female",27,"Mrs",0,2,3.7111,"none","none","S",0
1,"2","female",14,"Mrs",1,0,15.0354,"none","none","C",0
1,"3","female",4,"Miss",1,1,5.56666666666667,"G","port","S",0
1,"1","female",58,"Miss",0,0,26.55,"C","starboard","S",0
0,"3","male",20,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",39,"Mr",1,5,4.46785714285714,"none","none","S",0
0,"3","female",14,"Miss",0,0,7.8542,"none","none","S",0
1,"2","female",55,"Mrs",0,0,16,"none","none","S",0
0,"3","male",2,"Master",4,1,4.85416666666667,"none","none","Q",0
1,"2","male",29.68,"Mr",0,0,13,"none","none","S",1
0,"3","female",31,"Mrs",1,0,9,"none","none","S",0
1,"3","female",31.48,"Mrs",0,0,7.225,"none","none","C",1
0,"2","male",35,"Mr",0,0,26,"none","none","S",0
1,"2","male",34,"Mr",0,0,13,"D","port","S",0
1,"3","female",15,"Miss",0,0,8.0292,"none","none","Q",0
1,"1","male",28,"Mr",0,0,35.5,"A","port","S",0
0,"3","female",8,"Miss",3,1,4.215,"none","none","S",0
1,"3","female",38,"Mrs",1,5,4.48392857142857,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.225,"none","none","C",1
0,"1","male",19,"Mr",3,2,43.8333333333333,"C","starboard","S",0
1,"3","female",21.96,"Miss",0,0,7.8792,"none","none","Q",1
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
0,"1","male",40,"OtherMale",0,0,27.7208,"none","none","C",0
1,"1","female",35.64,"Mrs",1,0,73.2604,"B","port","C",1
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"2","male",66,"Mr",0,0,10.5,"none","none","S",0
0,"1","male",28,"Mr",1,0,41.0854,"none","none","C",0
0,"1","male",42,"Mr",1,0,26,"none","none","S",0
1,"3","male",28.08,"Mr",0,0,7.2292,"none","none","C",1
0,"3","male",21,"Mr",0,0,8.05,"none","none","S",0
0,"3","female",18,"Miss",2,0,6,"none","none","S",0
1,"3","female",14,"Miss",1,0,5.62085,"none","none","C",0
0,"3","female",40,"Mrs",1,0,4.7375,"none","none","S",0
0,"2","female",27,"Mrs",1,0,10.5,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","C",1
1,"2","female",3,"Miss",1,2,10.3948,"none","none","C",0
1,"3","female",19,"Miss",0,0,7.8792,"none","none","Q",0
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
0,"3","male",28.08,"Mr",1,0,7.75,"none","none","Q",1
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"3","male",28.08,"Mr",2,0,7.2264,"none","none","C",1
0,"3","female",18,"Mrs",1,0,8.9,"none","none","S",0
0,"3","male",7,"Master",4,1,6.61458333333333,"none","none","S",0
0,"3","male",21,"Mr",0,0,7.8,"none","none","S",0
1,"1","female",49,"Mrs",1,0,38.3646,"D","starboard","C",0
1,"2","female",29,"Mrs",1,0,13,"none","none","S",0
0,"1","male",65,"Mr",0,1,30.9896,"B","port","C",0
1,"1","male",32.24,"Mr",0,0,35.5,"C","port","S",1
1,"2","female",21,"Miss",0,0,10.5,"none","none","S",0
0,"3","male",28.5,"Mr",0,0,7.2292,"none","none","C",0
1,"2","female",5,"Miss",1,2,6.9375,"none","none","S",0
0,"3","male",11,"Master",5,2,5.8625,"none","none","S",0
0,"3","male",22,"Mr",0,0,7.2292,"none","none","C",0
1,"1","female",38,"Miss",0,0,80,"B","port","S",0
0,"1","male",45,"Mr",1,0,41.7375,"C","starboard","S",0
0,"3","male",4,"Master",3,2,4.65,"none","none","S",0
0,"1","male",32.24,"Mr",0,0,27.7208,"none","none","C",1
1,"3","male",10.06,"Master",1,1,5.08193333333333,"none","none","C",1
1,"2","female",29,"Mrs",0,0,10.5,"F","starboard","S",0
0,"3","male",19,"Mr",0,0,8.1583,"none","none","S",0
1,"3","female",17,"Miss",4,2,1.13214285714286,"none","none","S",0
0,"3","male",26,"Mr",2,0,2.8875,"none","none","S",0
0,"2","male",32,"Mr",0,0,10.5,"none","none","S",0
0,"3","female",16,"Miss",5,2,5.8625,"none","none","S",0
0,"2","male",21,"Mr",0,0,73.5,"none","none","S",0
0,"3","male",26,"Mr",1,0,7.2271,"none","none","C",0
1,"3","male",32,"Mr",0,0,56.4958,"none","none","S",0
0,"3","male",25,"Mr",0,0,7.65,"F","starboard","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
1,"2","male",0.83,"Master",0,2,9.66666666666667,"none","none","S",0
